page,paragraph,image_name
254,Histograms and Density Plots,
254,"A histogram, with which you may be well-acquainted, is a kind of bar plot that gives a discretized display of value frequency. The data points are split into discrete, evenly spaced bins, and the number of data points in each bin is plotted. Using the tipping data from before, we can make a histogram of tip percentages of the total bill using the  hist  method on the Series (see  Figure 8-19 ):",
254,In [76]: tips['tip_pct'] = tips['tip'] / tips['total_bill'],
254,In [77]: tips['tip_pct'].hist(bins=50),
254,238 | Chapter 8:   Plotting and Visualization,
255,Figure 8-19. Histogram of tip percentages,
255,"A related plot type is a  density plot , which is formed by computing an estimate of a continuous probability distribution that might have generated the observed data. A usual procedure is to approximate this distribution as a mixture of  kernels , that is, simpler distributions like the normal (Gaussian) distribution. Thus, density plots are also known as KDE (kernel density estimate) plots. Using  plot  with  kind='kde'  makes a density plot using the standard mixture-of-normals KDE (see  Figure 8-20 ):",
255,In [79]: tips['tip_pct'].plot(kind='kde'),
255,"These two plot types are often plotted together; the histogram in normalized form (to give a binned density) with a kernel density estimate plotted on top. As an example, consider a bimodal distribution consisting of draws from two different standard normal distributions (see  Figure 8-21 ):",
255,"In [81]: comp1 = np.random.normal(0, 1, size=200)  # N(0, 1)",
255,"In [82]: comp2 = np.random.normal(10, 2, size=200)  # N(10, 4)",
255,"In [83]: values = Series(np.concatenate([comp1, comp2]))",
255,"In [84]: values.hist(bins=100, alpha=0.3, color='k', normed=True) Out[84]: <matplotlib.axes.AxesSubplot at 0x5cd2350>",
255,"In [85]: values.plot(kind='kde', style='k--')",
255,Scatter Plots,
255,Scatter plots are a useful way of examining the relationship between two one-dimen- sional data series. matplotlib has a  scatter  plotting method that is the workhorse of,
255,Plotting Functions in pandas | 239,
256,"making these kinds of plots. To give an example, I load the  macrodata  dataset from the statsmodels project, select a few variables, then compute log differences:",
256,In [86]: macro = pd.read_csv('ch08/macrodata.csv'),
256,"In [87]: data = macro[['cpi', 'm1', 'tbilrate', 'unemp']]",
256,In [88]: trans_data = np.log(data).diff().dropna(),
256,Figure 8-20. Density plot of tip percentages,
256,Figure 8-21. Normalized histogram of normal mixture with density estimate,
256,240 | Chapter 8:   Plotting and Visualization,
257,In [89]: trans_data[-5:] Out[89]:            cpi        m1  tbilrate     unemp 198 -0.007904  0.045361 -0.396881  0.105361 199 -0.021979  0.066753 -2.277267  0.139762 200  0.002340  0.010286  0.606136  0.160343 201  0.008419  0.037461 -0.200671  0.127339 202  0.008894  0.012202 -0.405465  0.042560,
257,It’s easy to plot a simple scatter plot using  plt.scatter  (see  Figure 8-22 ):,
257,"In [91]: plt.scatter(trans_data['m1'], trans_data['unemp']) Out[91]: <matplotlib.collections.PathCollection at 0x43c31d0>",
257,"In [92]: plt.title('Changes in log %s vs. log %s' % ('m1', 'unemp'))",
257,Figure 8-22. A simple scatter plot,
257,"In exploratory data analysis it’s helpful to be able to look at all the scatter plots among a group of variables; this is known as a  pairs  plot or  scatter plot matrix . Making such a plot from scratch is a bit of work, so pandas has a  scatter_matrix  function for creating one from a DataFrame. It also supports placing histograms or density plots of each variable along the diagonal. See  Figure 8-23  for the resulting plot:",
257,"In [93]: scatter_matrix(trans_data, diagonal='kde', color='k', alpha=0.3)",
257,Plotting Maps: Visualizing Haiti Earthquake Crisis Data,
257,Ushahidi is a non-profit software company that enables crowdsourcing of information related to natural disasters and geopolitical events via text message. Many of these data sets are then published on their  website  for analysis and visualization. I downloaded,
257,Plotting Maps: Visualizing Haiti Earthquake Crisis Data | 241,
258,"the data collected during the 2010 Haiti earthquake crisis and aftermath, and I’ll show you how I prepared the data for analysis and visualization using pandas and other tools we have looked at thus far. After downloading the CSV file from the above link, we can load it into a DataFrame using  read_csv :",
258,In [94]: data = pd.read_csv('ch08/Haiti.csv'),
258,"In [95]: data Out[95]:  <class 'pandas.core.frame.DataFrame'> Int64Index: 3593 entries, 0 to 3592 Data columns: Serial            3593  non-null values INCIDENT TITLE    3593  non-null values INCIDENT DATE     3593  non-null values LOCATION          3593  non-null values DESCRIPTION       3593  non-null values CATEGORY          3587  non-null values LATITUDE          3593  non-null values LONGITUDE         3593  non-null values APPROVED          3593  non-null values VERIFIED          3593  non-null values dtypes: float64(2), int64(1), object(7)",
258,It’s easy now to tinker with this data set to see what kinds of things we might want to do with it. Each row represents a report sent from someone’s mobile phone indicating an emergency or some other problem. Each has an associated timestamp and a location as latitude and longitude:,
258,"In [96]: data[['INCIDENT DATE', 'LATITUDE', 'LONGITUDE']][:10] Out[96]:        INCIDENT DATE   LATITUDE   LONGITUDE",
258,Figure 8-23. Scatter plot matrix of statsmodels macro data,
258,242 | Chapter 8:   Plotting and Visualization,
259,0  05/07/2010 17:26  18.233333  -72.533333 1  28/06/2010 23:06  50.226029    5.729886 2  24/06/2010 16:21  22.278381  114.174287 3  20/06/2010 21:59  44.407062    8.933989 4  18/05/2010 16:26  18.571084  -72.334671 5  26/04/2010 13:14  18.593707  -72.310079 6  26/04/2010 14:19  18.482800  -73.638800 7  26/04/2010 14:27  18.415000  -73.195000 8  15/03/2010 10:58  18.517443  -72.236841 9  15/03/2010 11:00  18.547790  -72.410010,
259,The  CATEGORY  field contains a comma-separated list of codes indicating the type of message:,
259,"In [97]: data['CATEGORY'][:6] Out[97]:  0          1. Urgences | Emergency, 3. Public Health,  1    1. Urgences | Emergency, 2. Urgences logistiques  2    2. Urgences logistiques | Vital Lines, 8. Autre | 3                            1. Urgences | Emergency,  4                            1. Urgences | Emergency,  5                       5e. Communication lines down,  Name: CATEGORY",
259,"If you notice above in the data summary, some of the categories are missing, so we might want to drop these data points. Additionally, calling  describe  shows that there are some aberrant locations:",
259,In [98]: data.describe() Out[98]:              Serial     LATITUDE    LONGITUDE count  3593.000000  3593.000000  3593.000000 mean   2080.277484    18.611495   -72.322680 std    1171.100360     0.738572     3.650776 min       4.000000    18.041313   -74.452757 25%    1074.000000    18.524070   -72.417500 50%    2163.000000    18.539269   -72.335000 75%    3088.000000    18.561820   -72.293570 max    4052.000000    50.226029   114.174287,
259,Cleaning the bad locations and removing the missing categories is now fairly simple:,
259,In [99]: data = data[(data.LATITUDE > 18) & (data.LATITUDE < 20) &    ....:             (data.LONGITUDE > -75) & (data.LONGITUDE < -70)    ....:             & data.CATEGORY.notnull()],
259,"Now we might want to do some analysis or visualization of this data by category, but each category field may have multiple categories. Additionally, each category is given as a code plus an English and possibly also a French code name. Thus, a little bit of wrangling is required to get the data into a more agreeable form. First, I wrote these two functions to get a list of all the categories and to split each category into a code and an English name:",
259,"def to_cat_list(catstr):     stripped = (x.strip() for x in catstr.split(','))",
259,Plotting Maps: Visualizing Haiti Earthquake Crisis Data | 243,
260,    return [x for x in stripped if x],
260,def get_all_categories(cat_series):     cat_sets = (set(to_cat_list(x)) for x in cat_series)     return sorted(set.union(*cat_sets)),
260,"def get_english(cat):     code, names = cat.split('.')     if '|' in names:         names = names.split(' | ')[1]     return code, names.strip()",
260,You can test out that the  get_english  function does what you expect:,
260,"In [101]: get_english('2. Urgences logistiques | Vital Lines') Out[101]: ('2', 'Vital Lines')",
260,"Now, I make a  dict  mapping code to name because we’ll use the codes for analysis. We’ll use this later when adorning plots (note the use of a generator expression in lieu of a list comprehension):",
260,In [102]: all_cats = get_all_categories(data.CATEGORY),
260,# Generator expression In [103]: english_mapping = dict(get_english(x) for x in all_cats),
260,In [104]: english_mapping['2a'] Out[104]: 'Food Shortage',
260,In [105]: english_mapping['6c'] Out[105]: 'Earthquake and aftershocks',
260,"There are many ways to go about augmenting the data set to be able to easily select records by category. One way is to add indicator (or dummy) columns, one for each category. To do that, first extract the unique category codes and construct a DataFrame of zeros having those as its columns and the same index as  data :",
260,def get_code(seq):     return [x.split('.')[0] for x in seq if x],
260,"all_codes = get_code(all_cats) code_index = pd.Index(np.unique(all_codes)) dummy_frame = DataFrame(np.zeros((len(data), len(code_index))),                         index=data.index, columns=code_index)",
260,"If all goes well,  dummy_frame  should look something like this:",
260,"In [107]: dummy_frame.ix[:, :6] Out[107]:  <class 'pandas.core.frame.DataFrame'> Int64Index: 3569 entries, 0 to 3592 Data columns: 1     3569  non-null values 1a    3569  non-null values 1b    3569  non-null values 1c    3569  non-null values",
260,244 | Chapter 8:   Plotting and Visualization,
261,1d    3569  non-null values 2     3569  non-null values dtypes: float64(6),
261,"As you recall, the trick is then to set the appropriate entries of each row to 1, lastly joining this with  data :",
261,"for row, cat in zip(data.index, data.CATEGORY):     codes = get_code(to_cat_list(cat))     dummy_frame.ix[row, codes] = 1",
261,data = data.join(dummy_frame.add_prefix('category_')),
261,data  finally now has new columns like:,
261,"In [109]: data.ix[:, 10:15] Out[109]:  <class 'pandas.core.frame.DataFrame'> Int64Index: 3569 entries, 0 to 3592 Data columns: category_1     3569  non-null values category_1a    3569  non-null values category_1b    3569  non-null values category_1c    3569  non-null values category_1d    3569  non-null values dtypes: float64(5)",
261,"Let’s make some plots! As this is spatial data, we’d like to plot the data by category on a map of Haiti. The  basemap  toolkit ( http://matplotlib.github.com/basemap ), an add-on to matplotlib, enables plotting 2D data on maps in Python.  basemap  provides many different globe projections and a means for transforming projecting latitude and lon- gitude coordinates on the globe onto a two-dimensional matplotlib plot. After some trial and error and using the above data as a guideline, I wrote this function which draws a simple black and white map of Haiti:",
261,from mpl_toolkits.basemap import Basemap import matplotlib.pyplot as plt,
261,"def basic_haiti_map(ax=None, lllat=17.25, urlat=20.25,                     lllon=-75, urlon=-71):     # create polar stereographic Basemap instance.     m = Basemap(ax=ax, projection='stere',                 lon_0=(urlon + lllon) / 2,                 lat_0=(urlat + lllat) / 2,                 llcrnrlat=lllat, urcrnrlat=urlat,                 llcrnrlon=lllon, urcrnrlon=urlon,                 resolution='f')     # draw coastlines, state and country boundaries, edge of map.     m.drawcoastlines()     m.drawstates()     m.drawcountries()     return m",
261,"The idea, now, is that the returned  Basemap  object, knows how to transform coordinates onto the canvas. I wrote the following code to plot the data observations for a number",
261,Plotting Maps: Visualizing Haiti Earthquake Crisis Data | 245,
262,"of report categories. For each category, I filter down the data set to the coordinates labeled by that category, plot a  Basemap  on the appropriate subplot, transform the co- ordinates, then plot the points using the  Basemap’s   plot  method:",
262,"fig, axes = plt.subplots(nrows=2, ncols=2, figsize=(12, 10)) fig.subplots_adjust(hspace=0.05, wspace=0.05)",
262,"to_plot = ['2a', '1', '3c', '7a']",
262,lllat=17.25; urlat=20.25; lllon=-75; urlon=-71,
262,"for code, ax in zip(to_plot, axes.flat):     m = basic_haiti_map(ax, lllat=lllat, urlat=urlat,                         lllon=lllon, urlon=urlon)",
262,    cat_data = data[data['category_%s' % code] == 1],
262,"    # compute map proj coordinates.     x, y = m(cat_data.LONGITUDE, cat_data.LATITUDE)",
262,"    m.plot(x, y, 'k.', alpha=0.5)     ax.set_title('%s: %s' % (code, english_mapping[code]))",
262,The resulting figure can be seen in  Figure 8-24 .,
262,"It seems from the plot that most of the data is concentrated around the most populous city, Port-au-Prince.  basemap  allows you to overlap additional map data which comes from what are called  shapefiles . I first downloaded a shapefile with roads in Port-au- Prince (see  http://cegrp.cga.harvard.edu/haiti/?q=resources_data ). The  Basemap  object conveniently has a  readshapefile  method so that, after extracting the road data archive, I added just the following lines to my code:",
262,Figure 8-24. Haiti crisis data for 4 categories,
262,246 | Chapter 8:   Plotting and Visualization,
263,"shapefile_path = 'ch08/PortAuPrince_Roads/PortAuPrince_Roads' m.readshapefile(shapefile_path, 'roads')",
263,"After a little more trial and error with the latitude and longitude boundaries, I was able to make  Figure 8-25  for the “Food shortage” category.",
263,Python Visualization Tool Ecosystem,
263,"As is common with open source, there are a plethora of options for creating graphics in Python (too many to list). In addition to open source, there are numerous commercial libraries with Python bindings.",
263,"In this chapter and throughout the book, I have been primarily concerned with mat- plotlib as it is the most widely used plotting tool in Python. While it’s an important part of the scientific Python ecosystem, matplotlib has plenty of shortcomings when it comes to the creation and display of statistical graphics. MATLAB users will likely find matplotlib familiar, while R users (especially users of the excellent  ggplot2  and  trel lis  packages) may be somewhat disappointed (at least as of this writing). It is possible to make beautiful plots for display on the web in matplotlib, but doing so often requires significant effort as the library is designed for the printed page. Aesthetics aside, it is sufficient for most needs. In pandas, I, along with the other developers, have sought to build a convenient user interface that makes it easier to make most kinds of plots com- monplace in data analysis.",
263,There are a number of other visualization tools in wide use. I list a few of them here and encourage you to explore the ecosystem.,
263,Figure 8-25. Food shortage reports in Port-au-Prince during the Haiti earthquake crisis,
263,Python Visualization Tool Ecosystem | 247,
264,Chaco,
264,"Chaco ( http://code.enthought.com/chaco/ ), developed by Enthought, is a plotting tool- kit suitable both for static plotting and interactive visualizations. It is especially well- suited for expressing complex visualizations with data interrelationships. Compared with matplotlib, Chaco has much better support for interacting with plot elements and rendering is very fast, making it a good choice for building interactive GUI applications.",
264,Figure 8-26. A Chaco example plot,
264,mayavi,
264,"The mayavi project, developed by Prabhu Ramachandran, Gaël Varoquaux, and others, is a 3D graphics toolkit built on the open source C++ graphics library VTK. mayavi, like matplotlib, integrates with IPython so that it is easy to use interactively. The plots can be panned, rotated, and zoomed using the mouse and keyboard. I used mayavi to make one of the illustrations of broadcasting in  Chapter 12 . While I don’t show any mayavi-using code here, there is plenty of documentation and examples available on- line. In many cases, I believe it is a good alternative to a technology like WebGL, though the graphics are harder to share in interactive form.",
264,Other Packages,
264,"Of course, there are numerous other visualization libraries and applications available in Python: PyQwt, Veusz, gnuplot-py, biggles, and others. I have seen PyQwt put to good use in GUI applications built using the Qt application framework using PyQt. While many of these libraries continue to be under active development (some of them",
264,248 | Chapter 8:   Plotting and Visualization,
265,"are part of much larger applications), I have noted in the last few years a general trend toward web-based technologies and away from desktop graphics. I’ll say a few more words about this in the next section.",
265,The Future of Visualization Tools?,
265,"Visualizations built on web technologies (that is, JavaScript-based) appear to be the inevitable future. Doubtlessly you have used many different kinds of static or interactive visualizations built in Flash or JavaScript over the years. New toolkits (such as d3.js and its numerous off-shoot projects) for building such displays are appearing all the time. In contrast, development in non web-based visualization has slowed significantly in recent years. This holds true of Python as well as other data analysis and statistical computing environments like R.",
265,"The development challenge, then, will be in building tighter integration between data analysis and preparation tools, such as pandas, and the web browser. I am hopeful that this will become a fruitful point of collaboration between Python and non-Python users as well.",
265,Python Visualization Tool Ecosystem | 249,
267,CHAPTER 9,
267,Data Aggregation and Group,
267,Operations,
267,"Categorizing a data set and applying a function to each group, whether an aggregation or transformation, is often a critical component of a data analysis workflow. After loading, merging, and preparing a data set, a familiar task is to compute group statistics or possibly  pivot tables  for reporting or visualization purposes. pandas provides a flex- ible and high-performance  groupby  facility, enabling you to slice and dice, and sum- marize data sets in a natural way.",
267,"One reason for the popularity of relational databases and SQL (which stands for “structured query language”) is the ease with which data can be joined, filtered, trans- formed, and aggregated. However, query languages like SQL are rather limited in the kinds of group operations that can be performed. As you will see, with the expressive- ness and power of Python and pandas, we can perform much more complex grouped operations by utilizing any function that accepts a pandas object or NumPy array. In this chapter, you will learn how to:",
267,"• Split a pandas object into pieces using one or more keys (in the form of functions, arrays, or DataFrame column names) • Computing group summary statistics, like count, mean, or standard deviation, or a user-defined function • Apply a varying set of functions to each column of a DataFrame • Apply within-group transformations or other manipulations, like normalization, linear regression, rank, or subset selection • Compute pivot tables and cross-tabulations • Perform quantile analysis and other data-derived group analyses",
267,251,
268,"Aggregation of time series data, a special use case of  groupby , is referred to as  resampling  in this book and will receive separate treatment in Chapter 10 .",
268,GroupBy Mechanics,
268,"Hadley Wickham, an author of many popular packages for the R programming lan- guage, coined the term  split-apply-combine  for talking about group operations, and I think that’s a good description of the process. In the first stage of the process, data contained in a pandas object, whether a Series, DataFrame, or otherwise, is  split  into groups based on one or more  keys  that you provide. The splitting is performed on a particular axis of an object. For example, a DataFrame can be grouped on its rows ( axis=0 ) or its columns ( axis=1 ). Once this is done, a function is  applied  to each group, producing a new value. Finally, the results of all those function applications are  com- bined  into a result object. The form of the resulting object will usually depend on what’s being done to the data. See  Figure 9-1  for a mockup of a simple group aggregation.",
268,Figure 9-1. Illustration of a group aggregation,
268,"Each grouping key can take many forms, and the keys do not have to be all of the same type:",
268,• A list or array of values that is the same length as the axis being grouped • A value indicating a column name in a DataFrame,
268,252 | Chapter 9:   Data Aggregation and Group Operations,
269,• A dict or Series giving a correspondence between the values on the axis being grouped and the group names • A function to be invoked on the axis index or the individual labels in the index,
269,"Note that the latter three methods are all just shortcuts for producing an array of values to be used to split up the object. Don’t worry if this all seems very abstract. Throughout this chapter, I will give many examples of all of these methods. To get started, here is a very simple small tabular dataset as a DataFrame:",
269,"In [13]: df = DataFrame({'key1' : ['a', 'a', 'b', 'b', 'a'],    ....:                 'key2' : ['one', 'two', 'one', 'two', 'one'],    ....:                 'data1' : np.random.randn(5),    ....:                 'data2' : np.random.randn(5)})",
269,In [14]: df Out[14]:        data1     data2 key1 key2 0 -0.204708  1.393406    a  one 1  0.478943  0.092908    a  two 2 -0.519439  0.281746    b  one 3 -0.555730  0.769023    b  two 4  1.965781  1.246435    a  one,
269,Suppose you wanted to compute the mean of the  data1  column using the groups labels from  key1 . There are a number of ways to do this. One is to access  data1  and call groupby  with the column (a Series) at  key1 :,
269,In [15]: grouped = df['data1'].groupby(df['key1']),
269,In [16]: grouped Out[16]: <pandas.core.groupby.SeriesGroupBy at 0x2d78b10>,
269,"This  grouped  variable is now a  GroupBy  object. It has not actually computed anything yet except for some intermediate data about the group key  df['key1'] . The idea is that this object has all of the information needed to then apply some operation to each of the groups. For example, to compute group means we can call the GroupBy’s  mean method:",
269,In [17]: grouped.mean() Out[17]:  key1 a       0.746672 b      -0.537585,
269,"Later, I'll explain more about what’s going on when you call  .mean() . The important thing here is that the data (a Series) has been aggregated according to the group key, producing a new Series that is now indexed by the unique values in the  key1  column. The result index has the name  'key1'  because the DataFrame column  df['key1']  did.",
269,"If instead we had passed multiple arrays as a list, we get something different:",
269,"In [18]: means = df['data1'].groupby([df['key1'], df['key2']]).mean()",
269,GroupBy Mechanics | 253,
270,In [19]: means Out[19]:  key1  key2 a     one     0.880536       two     0.478943 b     one    -0.519439       two    -0.555730,
270,"In this case, we grouped the data using two keys, and the resulting Series now has a hierarchical index consisting of the unique pairs of keys observed:",
270,In [20]: means.unstack() Out[20]:  key2       one       two key1                     a     0.880536  0.478943 b    -0.519439 -0.555730,
270,"In these examples, the group keys are all Series, though they could be any arrays of the right length:",
270,"In [21]: states = np.array(['Ohio', 'California', 'California', 'Ohio', 'Ohio'])",
270,"In [22]: years = np.array([2005, 2005, 2006, 2005, 2006])",
270,"In [23]: df['data1'].groupby([states, years]).mean() Out[23]:  California  2005    0.478943             2006   -0.519439 Ohio        2005   -0.380219             2006    1.965781",
270,"Frequently the grouping information to be found in the same DataFrame as the data you want to work on. In that case, you can pass column names (whether those are strings, numbers, or other Python objects) as the group keys:",
270,In [24]: df.groupby('key1').mean() Out[24]:           data1     data2 key1                     a     0.746672  0.910916 b    -0.537585  0.525384,
270,"In [25]: df.groupby(['key1', 'key2']).mean() Out[25]:                data1     data2 key1 key2                     a    one   0.880536  1.319920      two   0.478943  0.092908 b    one  -0.519439  0.281746      two  -0.555730  0.769023",
270,"You may have noticed in the first case  df.groupby('key1').mean()  that there is no key2  column in the result. Because  df['key2']  is not numeric data, it is said to be a nuisance column , which is therefore excluded from the result. By default, all of the",
270,254 | Chapter 9:   Data Aggregation and Group Operations,
271,"numeric columns are aggregated, though it is possible to filter down to a subset as you’ll see soon.",
271,"Regardless of the objective in using  groupby , a generally useful GroupBy method is  size  which return a Series containing group sizes:",
271,"In [26]: df.groupby(['key1', 'key2']).size() Out[26]:  key1  key2 a     one     2       two     1 b     one     1       two     1",
271,"As of this writing, any missing values in a group key will be excluded from the result. It’s possible (and, in fact, quite likely), that by the time you are reading this there will be an option to include the  NA  group in the result.",
271,Iterating Over Groups,
271,"The GroupBy object supports iteration, generating a sequence of 2-tuples containing the group name along with the chunk of data. Consider the following small example data set:",
271,"In [27]: for name, group in df.groupby('key1'):    ....:     print name    ....:     print group    ....: a       data1     data2 key1 key2 0 -0.204708  1.393406    a  one 1  0.478943  0.092908    a  two 4  1.965781  1.246435    a  one b       data1     data2 key1 key2 2 -0.519439  0.281746    b  one 3 -0.555730  0.769023    b  two",
271,"In the case of multiple keys, the first element in the tuple will be a tuple of key values:",
271,"In [28]: for (k1, k2), group in df.groupby(['key1', 'key2']):    ....:     print k1, k2    ....:     print group    ....: a one       data1     data2 key1 key2 0 -0.204708  1.393406    a  one 4  1.965781  1.246435    a  one a two       data1     data2 key1 key2 1  0.478943  0.092908    a  two b one       data1     data2 key1 key2",
271,GroupBy Mechanics | 255,
272,2 -0.519439  0.281746    b  one b two      data1     data2 key1 key2 3 -0.55573  0.769023    b  two,
272,"Of course, you can choose to do whatever you want with the pieces of data. A recipe you may find useful is computing a dict of the data pieces as a one-liner:",
272,In [29]: pieces = dict(list(df.groupby('key1'))),
272,In [30]: pieces['b'] Out[30]:        data1     data2 key1 key2 2 -0.519439  0.281746    b  one 3 -0.555730  0.769023    b  two,
272,"By default  groupby  groups on  axis=0 , but you can group on any of the other axes. For example, we could group the columns of our example  df  here by  dtype  like so:",
272,In [31]: df.dtypes Out[31]:  data1    float64 data2    float64 key1      object key2      object,
272,"In [32]: grouped = df.groupby(df.dtypes, axis=1)",
272,"In [33]: dict(list(grouped)) Out[33]:  {dtype('float64'):       data1     data2 0 -0.204708  1.393406 1  0.478943  0.092908 2 -0.519439  0.281746 3 -0.555730  0.769023 4  1.965781  1.246435,  dtype('object'):   key1 key2 0    a  one 1    a  two 2    b  one 3    b  two 4    a  one}",
272,Selecting a Column or Subset of Columns,
272,Indexing a GroupBy object created from a DataFrame with a column name or array of column names has the effect of  selecting those columns  for aggregation. This means that:,
272,df.groupby('key1')['data1'] df.groupby('key1')[['data2']],
272,are syntactic sugar for:,
272,df['data1'].groupby(df['key1']) df[['data2']].groupby(df['key1']),
272,256 | Chapter 9:   Data Aggregation and Group Operations,
273,"Especially for large data sets, it may be desirable to aggregate only a few columns. For example, in the above data set, to compute means for just the  data2  column and get the result as a DataFrame, we could write:",
273,"In [34]: df.groupby(['key1', 'key2'])[['data2']].mean() Out[34]:                data2 key1 key2           a    one   1.319920      two   0.092908 b    one   0.281746      two   0.769023",
273,The object returned by this indexing operation is a grouped DataFrame if a list or array is passed and a grouped Series is just a single column name that is passed as a scalar:,
273,"In [35]: s_grouped = df.groupby(['key1', 'key2'])['data2']",
273,In [36]: s_grouped Out[36]: <pandas.core.groupby.SeriesGroupBy at 0x2e215d0>,
273,In [37]: s_grouped.mean() Out[37]:  key1  key2 a     one     1.319920       two     0.092908 b     one     0.281746       two     0.769023 Name: data2,
273,Grouping with Dicts and Series,
273,Grouping information may exist in a form other than an array. Let’s consider another example DataFrame:,
273,"In [38]: people = DataFrame(np.random.randn(5, 5),    ....:                    columns=['a', 'b', 'c', 'd', 'e'],    ....:                    index=['Joe', 'Steve', 'Wes', 'Jim', 'Travis'])",
273,"In [39]: people.ix[2:3, ['b', 'c']] = np.nan # Add a few NA values",
273,In [40]: people Out[40]:                 a         b         c         d         e Joe     1.007189 -1.296221  0.274992  0.228913  1.352917 Steve   0.886429 -2.001637 -0.371843  1.669025 -0.438570 Wes    -0.539741       NaN       NaN -1.021228 -0.577087 Jim     0.124121  0.302614  0.523772  0.000940  1.343810 Travis -0.713544 -0.831154 -2.370232 -1.860761 -0.860757,
273,"Now, suppose I have a group correspondence for the columns and want to sum together the columns by group:",
273,"In [41]: mapping = {'a': 'red', 'b': 'red', 'c': 'blue',    ....:            'd': 'blue', 'e': 'red', 'f' : 'orange'}",
273,GroupBy Mechanics | 257,
274,"Now, you could easily construct an array from this dict to pass to  groupby , but instead we can just pass the dict:",
274,"In [42]: by_column = people.groupby(mapping, axis=1)",
274,In [43]: by_column.sum() Out[43]:              blue       red Joe     0.503905  1.063885 Steve   1.297183 -1.553778 Wes    -1.021228 -1.116829 Jim     0.524712  1.770545 Travis -4.230992 -2.405455,
274,"The same functionality holds for Series, which can be viewed as a fixed size mapping. When I used Series as group keys in the above examples, pandas does, in fact, inspect each Series to ensure that its index is aligned with the axis it’s grouping:",
274,In [44]: map_series = Series(mapping),
274,In [45]: map_series Out[45]:  a       red b       red c      blue d      blue e       red f    orange,
274,"In [46]: people.groupby(map_series, axis=1).count() Out[46]:          blue  red Joe        2    3 Steve      2    3 Wes        1    2 Jim        2    3 Travis     2    3",
274,Grouping with Functions,
274,"Using Python functions in what can be fairly creative ways is a more abstract way of defining a group mapping compared with a dict or Series. Any function passed as a group key will be called once per index value, with the return values being used as the group names. More concretely, consider the example DataFrame from the previous section, which has people’s first names as index values. Suppose you wanted to group by the length of the names; you could compute an array of string lengths, but instead you can just pass the  len  function:",
274,In [47]: people.groupby(len).sum() Out[47]:            a         b         c         d         e 3  0.591569 -0.993608  0.798764 -0.791374  2.119639,
274,258 | Chapter 9:   Data Aggregation and Group Operations,
275,5  0.886429 -2.001637 -0.371843  1.669025 -0.438570 6 -0.713544 -0.831154 -2.370232 -1.860761 -0.860757,
275,"Mixing functions with arrays, dicts, or Series is not a problem as everything gets con- verted to arrays internally:",
275,"In [48]: key_list = ['one', 'one', 'one', 'two', 'two']",
275,"In [49]: people.groupby([len, key_list]).min() Out[49]:                a         b         c         d         e 3 one -0.539741 -1.296221  0.274992 -1.021228 -0.577087   two  0.124121  0.302614  0.523772  0.000940  1.343810 5 one  0.886429 -2.001637 -0.371843  1.669025 -0.438570 6 two -0.713544 -0.831154 -2.370232 -1.860761 -0.860757",
275,Grouping by Index Levels,
275,"A final convenience for hierarchically-indexed data sets is the ability to aggregate using one of the levels of an axis index. To do this, pass the level number or name using the  level  keyword:",
275,"In [50]: columns = pd.MultiIndex.from_arrays([['US', 'US', 'US', 'JP', 'JP'],    ....:                                     [1, 3, 5, 1, 3]], names=['cty', 'tenor'])",
275,"In [51]: hier_df = DataFrame(np.random.randn(4, 5), columns=columns)",
275,In [52]: hier_df Out[52]:  cty          US                            JP           tenor         1         3         5         1         3 0      0.560145 -1.265934  0.119827 -1.063512  0.332883 1     -2.359419 -0.199543 -1.541996 -0.970736 -1.307030 2      0.286350  0.377984 -0.753887  0.331286  1.349742 3      0.069877  0.246674 -0.011862  1.004812  1.327195,
275,"In [53]: hier_df.groupby(level='cty', axis=1).count() Out[53]:  cty  JP  US 0     2   3 1     2   3 2     2   3 3     2   3",
275,Data Aggregation,
275,"By aggregation, I am generally referring to any data transformation that produces scalar values from arrays. In the examples above I have used several of them, such as  mean, count, min  and  sum . You may wonder what is going on when you invoke  mean()  on a GroupBy object. Many common aggregations, such as those found in  Table 9-1 , have optimized implementations that compute the statistics on the dataset  in place . How- ever, you are not limited to only this set of methods. You can use aggregations of your",
275,Data Aggregation | 259,
276,"own devising and additionally call any method that is also defined on the grouped object. For example, as you recall  quantile  computes sample quantiles of a Series or a DataFrame’s columns  1 :",
276,In [54]: df Out[54]:        data1     data2 key1 key2 0 -0.204708  1.393406    a  one 1  0.478943  0.092908    a  two 2 -0.519439  0.281746    b  one 3 -0.555730  0.769023    b  two 4  1.965781  1.246435    a  one,
276,In [55]: grouped = df.groupby('key1'),
276,In [56]: grouped['data1'].quantile(0.9) Out[56]:  key1 a       1.668413 b      -0.523068,
276,"While  quantile  is not explicitly implemented for GroupBy, it is a Series method and thus available for use. Internally, GroupBy efficiently slices up the Series, calls piece.quantile(0.9)  for each piece, then assembles those results together into the result object.",
276,"To use your own aggregation functions, pass any function that aggregates an array to the  aggregate  or  agg  method:",
276,In [57]: def peak_to_peak(arr):    ....:     return arr.max() - arr.min(),
276,In [58]: grouped.agg(peak_to_peak) Out[58]:           data1     data2 key1                     a     2.170488  1.300498 b     0.036292  0.487276,
276,"You’ll notice that some methods like  describe  also work, even though they are not aggregations, strictly speaking:",
